5
1,78,2,68,61,75,13,80,24,79,73,57,5,41,76,18,20,6,91,3,20,58,11,52,94,26,16,2,46,40,23,99,83,49,9,15,23,6,81,36,58,62,39,17,33,81,1,79,94,60,15,44,31,19,47,24,1,65,41,50,27,67,81,13,3,98,42,36,3,36,4,70,54,67,17,17,95,48,61,99,37,59,95,40,66,86,11,70,84,68,21,62,48,52,77,10,6,85,88,47,31
2,15,32,79,33,42,89,65,34,17,86,6,88,79,65,79,82,42,72,11,58,80,64,49,54,87,63,39,33,93,45,18,16,91,50,75,20,30,82,27,26,97,70,27,54,26,58,96,68,58,72,91,75,74,61,54,80,23,44,33,29,94,5,14,64,50,51,51,14,94,51,24,98,33,55,10,90,14,1,30,79,54,14,55,6,87,84,59,84,84,81,48,32,48,56,70,18,90,55,86,86
3,63,89,59,81,37,50,87,98,75,27,10,90,83,86,68,50,86,8,28,14,8,13,35,90,17,13,84,27,22,31,64,97,11,68,72,85,40,66,50,57,89,20,59,75,41,6,48,70,53,62,70,91,14,12,29,2,11,70,38,41,85,60,26,49,57,90,14,95,72,79,56,74,39,80,28,13,0,89,27,46,0,98,28,21,91,58,65,78,58,81,42,28,0,16,40,50,89,80,49,99
4,61,19,56,63,95,15,56,21,70,44,34,66,1,88,95,34,16,36,25,35,96,63,7,17,37,71,4,16,12,92,83,34,66,86,52,47,19,58,49,6,81,90,14,29,64,53,49,46,90,68,0,9,93,24,40,64,13,31,66,89,28,47,10,63,26,85,75,82,94,6,93,50,93,6,56,80,8,3,23,41,12,58,88,92,88,19,61,50,16,89,71,83,32,90,95,74,41,90,89,17
5,85,90,82,10,34,97,58,72,86,16,88,89,60,72,4,4,65,26,53,95,50,10,41,59,40,79,72,0,75,34,26,62,17,65,78,52,52,88,12,45,14,32,73,78,14,37,30,76,43,55,31,0,8,35,67,15,35,93,72,77,84,20,33,99,82,24,96,9,7,48,16,37,37,76,99,81,94,70,76,69,95,71,33,21,67,18,36,11,47,66,75,9,68,62,57,3,72,45,8,56
6,76,28,8,19,18,8,48,37,25,21,77,13,95,54,49,56,12,80,80,18,50,50,84,74,51,46,49,0,31,53,78,18,90,37,29,50,49,94,46,65,30,59,8,72,81,72,59,66,85,90,45,82,87,1,29,44,81,20,92,39,43,12,20,3,91,33,8,65,89,5,85,5,43,65,24,32,55,89,5,16,51,74,96,26,24,84,96,37,64,7,58,99,33,44,81,53,19,44,76,80
7,26,36,54,72,51,62,34,20,98,95,89,47,1,48,35,69,18,14,73,91,12,42,88,12,0,67,48,27,20,11,95,27,64,61,10,49,61,66,85,40,17,55,93,65,69,72,54,73,24,13,29,61,23,39,93,21,72,65,81,10,80,61,26,16,39,98,63,98,90,57,86,40,10,93,20,62,83,36,4,11,17,96,20,47,85,74,88,52,92,78,72,35,85,98,13,11,52,10,92,92
8,77,89,46,1,62,93,71,55,35,64,97,70,41,83,8,41,2,4,45,20,18,16,27,47,8,23,91,47,35,32,84,84,31,4,45,54,63,30,35,60,78,47,29,65,88,31,19,1,50,1,73,56,60,6,73,79,13,82,29,59,38,9,96,89,90,95,23,16,56,22,11,80,49,1,27,89,92,96,16,51,55,17,22,56,30,54,95,60,95,33,82,40,39,79,47,97,15,73,98,58
9,98,10,56,25,15,49,24,84,61,18,2,6,92,73,14,63,32,37,89,43,36,38,83,30,85,64,32,8,5,71,9,97,60,63,52,55,43,26,57,36,22,34,48,20,19,73,99,69,60,22,45,61,91,90,55,17,53,95,58,99,40,72,85,3,44,6,2,49,4,15,90,98,99,7,40,61,26,40,29,37,34,5,61,11,98,50,42,77,38,61,14,6,41,55,32,49,27,73,53,97
10,85,0,65,33,10,92,63,12,16,80,72,62,55,78,68,56,8,21,74,31,65,79,53,37,67,75,56,69,29,87,38,17,45,51,70,88,97,19,95,91,7,72,32,40,86,23,94,55,52,42,50,27,28,94,11,10,26,65,3,49,9,65,48,99,81,31,45,91,71,4,39,4,60,80,12,77,60,23,43,22,21,7,54,51,50,0,45,12,21,54,26,45,81,46,28,76,27,24,0,68
